Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded,ActualPick
208,6,Josh Palmer,Tennessee,WR,Chicago (Trade),+26,16,Tennessee,True,False
209,6,Jonathon Cooper,Ohio State,EDGE,LA Rams,+9,6,Ohio,False,False
210,6,Mustafa Johnson,Colorado,DL5T,Baltimore,+15,6,Colorado,False,False
211,6,O'Bryan Goodson,Memphis,DL3T,Cleveland,-55,6,Tennessee,False,False
212,6,Brenden Knox,Marshall,RB,Houston (Trade),-31,16,West Virginia,True,False
213,6,Cade Johnson,South Dakota State,WRS,Buffalo,-14,6,South Dakota,False,False
214,6,Elerson Smith,Northern Iowa,EDGE,Green Bay,-17,6,Iowa,False,False
215,6,Ryan McCollum,Texas A&M,OC,Tennessee (Trade),-30,16,Texas,True,False
216,6,Malcolm Koonce,Buffalo,EDGE,Pittsburgh (Trade),-9,16,New York,True,False
217,6,Chauncey Golston,Iowa,DL5T,Tampa Bay (Comp),+5,6,Iowa,False,False
218,6,Quintin Morris,Bowling Green,TE,New Orleans (Comp),+10,6,Ohio,False,False
219,6,Marquez Stevenson,Houston,WR,Atlanta (Comp),+12,6,Texas,False,False
220,6,Jalen Camp,Georgia Tech,WR,Green Bay (Comp),-72,6,Georgia,False,False
221,6,Garret Wallow,TCU,OLB,Chicago (Comp),+4,6,Texas,False,False
222,6,Isaiahh Loudermilk,Wisconsin,DL5T,Carolina (Comp),+4,6,Wisconsin,False,False
223,6,Kenny Yeboah,Ole Miss,TE,Arizona (Trade),+4,16,Mississippi,True,False
224,6,Brady White,Memphis,QB,Philadelphia (Comp),+3,6,Tennessee,False,False
225,6,Max Richardson,Boston College,OLB,Philadelphia (Comp),-5,6,Massachusetts,False,False
226,6,Mark Gilbert,Duke,CB,NY Jets (Trade),-64,16,North Carolina,True,False
227,6,Dez Fitzpatrick,Louisville,WR,Dallas (Comp),+7,6,Kentucky,False,False
228,6,Carlo Kemp,Michigan,DL5T,Chicago (Comp),+5,6,Michigan,False,False
229,7,D'Ante Smith,East Carolina,OT,New Orleans (Trade),+19,15,North Carolina,True,False
230,7,Pooka Williams,Kansas,RBC,San Francisco (Trade),-4,15,Kansas,True,False
231,7,Jermar Jefferson,Oregon State,RBC,Miami (Trade),+3,15,Oregon,True,False
232,7,David Moore,Grambling State,OG,Tennessee (Trade),-45,15,Louisiana,True,False
233,7,Justin Hilliard,Ohio State,ILB,Houston (Trade),-37,15,Ohio,True,False
234,7,Calvin Ashley,Florida A&M,OG,Philadelphia,-44,5,Florida,False,False
235,7,Kary Vincent Jr.,LSU,CB,Cincinnati (Trade),+42,15,Louisiana,True,False
236,7,John Bates,Boise State,TE,Buffalo (Trade),+3,15,Idaho,True,False
237,7,Dan Moore Jr.,Texas A&M,OT,Denver,+22,5,Texas,False,False
238,7,Cary Angeline,NC State,TE,Dallas,-13,5,North Carolina,False,False
239,7,James Wiggins,Cincinnati,S,Denver (Trade),+4,15,Ohio,True,False
240,7,Erroll Thompson,Mississippi State,ILB,Philadelphia (Trade),-54,15,Mississippi,True,False
241,7,Shi Smith,South Carolina,WRS,LA Chargers,+5,5,South Carolina,False,False
242,7,Landon Young,Kentucky,OT,New England,+10,5,Kentucky,False,False
243,7,Spencer Brown,UAB,RB,Arizona,-22,5,Alabama,False,False
244,7,Jordon Scott,Oregon,DL1T,Miami (Trade),-41,15,Oregon,True,False
245,7,Ambry Thomas,Michigan,CB,Pittsburgh (Trade),+40,15,Michigan,True,False
246,7,Shemar Jean-Charles,Appalachian State,CB,Washington,+37,5,North Carolina,False,False
247,7,Kendrick Green,Illinois,OG,Arizona (Trade),-32,15,Illinois,True,False
248,7,Tay Gowan,UCF,CB,Indianapolis,+37,5,Florida,False,False
249,7,Grant Stuard,Houston,OLB,Jacksonville (Trade),+2,15,Texas,True,False
250,7,Austin Watkins,UAB,WR,Seattle,+10,5,Alabama,False,False
251,7,Carson Green,Texas A&M,OG,Tampa Bay (Trade),-29,15,Texas,True,False
252,7,Cole Van Lanen,Wisconsin,OT,LA Rams,+10,5,Wisconsin,False,False
253,7,T.J. Vasher,Texas Tech,WR,Denver (Trade),+24,15,Texas,True,False
254,7,Brennan Eagles,Texas,WR,Pittsburgh (Trade),+17,15,Texas,True,False
255,7,Mark Webb,Georgia,S,New Orleans,-4,5,Georgia,False,False
256,7,Avery Williams,Boise State,CB,Green Bay,-122,5,Idaho,False,False
257,7,Larry Rountree III,Missouri,RBC,Cleveland (Trade),+0,15,Missouri,True,False
258,7,Patrick Johnson,Tulane,EDGE,Washington (Trade),-11,15,Louisiana,True,False
259,7,Dicaprio Bootle,Nebraska,CB,Tampa Bay,+37,5,Nebraska,False,False
,0,,,,,,0,,False,False
